Crossovers From Below 
Day 0, Day 0 Return, Day 1, Day 1 Return 
65.68, 1.0384189723320159, 65.7, 1.0034711265383403 
63.6, 1.0034711265383403, 63.98, 1.0046053676353819 
63.26, 1.0046053676353819, 63.64, 1.015502637046508 
63.54, 1.015502637046508, 62.97, 1.0214950272698107 
63.68, 1.0214950272698107, 64.08, 1.0178276658963354 
61.66, 1.0178276658963354, 62.15, 1.0203305785123966 
61.73, 1.0203305785123966, 61.02, 1.0062274664044575 
61.4, 1.0062274664044575, 60.43, 1.016708023159636 
61.46, 1.016708023159636, 61.22, 1.0073493385595298 
61.68, 1.0073493385595298, 62.06, 1.0067757395471824 
60.92, 1.0067757395471824, 60.5, 1.0127272727272727 
61.27, 1.0127272727272727, 61.28, 1.0059356966199506 
61.01, 1.0059356966199506, 61.22, 1.0065157750342937 
58.7, 1.0065157750342937, 59.37, 1.011989574283232 
58.24, 1.011989574283232, 57.12, 1.0267857142857144 
58.65, 1.0267857142857144, 58.96, 1.0271406058483628 
58.66, 1.0271406058483628, 59.06, 1.0077868852459018 
49.18, 1.0077868852459018, 49.71, 1.0135627530364373 
50.07, 1.0135627530364373, 50.01, 1.0119167844879824 
50.1, 1.0119167844879824, 48.08, 1.0276827878195733 
63.11, 1.0276827878195733, 63.75, 1.0035610229847847 
62, 1.0035610229847847, 61.75, 1.005506072874494 
62.09, 1.005506072874494, 61.86, 1.004823151125402 
62.5, 1.004823151125402, 62.59, 1.0076847612818838 
61.63, 1.0076847612818838, 61.77, 1.0215425094556816 
62.12, 1.0215425094556816, 62.24, 1.0085203998033754 
61.55, 1.0085203998033754, 58.33, 1.0240040006667777 
61.43, 1.0240040006667777, 60.25, 1.010990813648294 
61.63, 1.010990813648294, 60.7, 1.029159802306425 
62.47, 1.029159802306425, 63.03, 1.0162677636499626 
54.35, 1.0162677636499626, 54.1, 1.0070955534531694 
42.58, 1.0070955534531694, 42.17, 1.0132985039183093 
42.67, 1.0132985039183093, 42.91, 1.0225269343780605 
41.76, 1.0225269343780605, 41.59, 1.011175898931001 
41.62, 1.011175898931001, 41.63, 1.0257226849583536 
41.87, 1.0257226849583536, 41.72, 1.0290115532734274 
40.08, 1.0290115532734274, 40.2, 1.0135708227311282 
35.85, 1.0135708227311282, 35.59, 1.0673469387755103 
36.61, 1.0673469387755103, 36.19, 1.0262934690415606 
36.3, 1.0262934690415606, 36.48, 1.0031073446327683 
35.51, 1.0031073446327683, 35.51, 1.0144475920679887 
35.81, 1.0144475920679887, 35.48, 1.0314121037463977 
35.79, 1.0314121037463977, 35.62, 1.0099347147317628 
35.58, 1.0099347147317628, 35.46, 1.0194230219937161 
35.69, 1.0194230219937161, 35.15, 1.0185555238367114 
35.68, 1.0185555238367114, 35.15, 1.0073947667804324 
35.42, 1.0073947667804324, 35.22, 1.0255536626916524 
36.12, 1.0255536626916524, 36.13, 1.0132794457274827 
35.1, 1.0132794457274827, 35.65, 1.009098914000587 
34.38, 1.009098914000587, 34.73, 1.014544375185515 
34.18, 1.014544375185515, 34.18, 1.0228276877761415 
27.78, 1.0228276877761415, 27.78, 1.024842417500927 
27.64, 1.024842417500927, 28.36, 1.029981718464351 
28.17, 1.029981718464351, 28.02, 1.0460235640648012 
28.41, 1.0460235640648012, 27.64, 1.0300289435600578 
28.47, 1.0300289435600578, 28.31, 1.0072385088671734 
27.83, 1.0072385088671734, 26.44, 1.033415406260992 
29.38, 1.033415406260992, 29.05, 1.025097207493814 
29, 1.025097207493814, 29.15, 1.020825721592985 
27.94, 1.020825721592985, 28.51, 1.0425373134328357 
27.94, 1.0425373134328357, 27.9, 1.0192307692307692 
28.09, 1.0192307692307692, 29.61, 1.0155234657039711 
28.13, 1.0155234657039711, 28.89, 1.0307802433786686 
28.8, 1.0307802433786686, 28.46, 1.0202630643441166 
28.7, 1.0202630643441166, 29.17, 1.0202991452991452 
28.65, 1.0202991452991452, 28.8, 1.0067543547813722 
28.32, 1.0067543547813722, 28.18, 1.028673835125448 
28.7, 1.028673835125448, 29.83, 1.0537175382426183 
29.62, 1.0537175382426183, 29.29, 1.0516814159292036 
29.71, 1.0516814159292036, 30.18, 1.0292887029288702 
29.52, 1.0292887029288702, 31.17, 1.005313092979127 
26.49, 1.005313092979127, 26.49, 1.0125237191650853 
26.68, 1.0125237191650853, 27.28, 1.008083689966714 
21.2, 1.008083689966714, 21.37, 1.0370009737098345 
21.3, 1.0370009737098345, 21.38, 1.0201245807379011 
21.29, 1.0201245807379011, 21.13, 1.0326192794547226 
21.21, 1.0326192794547226, 21.04, 1.0371638141809292 
21.21, 1.0371638141809292, 21.8, 1.0035906642728905 
11.18, 1.0035906642728905, 11.35, 0.9880597014925372 
9.93, 0.9880597014925372, 9.68, 0.992007992007992 
9.93, 0.992007992007992, 9.97, 0.9960039960039961 
9.97, 0.9960039960039961, 9.81, 1.019512195121951 
12.54, 1.019512195121951, 12.62, 1.0032310177705976 
12.42, 1.0032310177705976, 12.42, 1.0259319286871962 
12.66, 1.0259319286871962, 12.78, 1.0227827502034175 
12.57, 1.0227827502034175, 12.49, 1.0161290322580645 
12.6, 1.0161290322580645, 12.56, 1.0161030595813203 
12.62, 1.0161030595813203, 12.74, 0.9920159680638723 
9.94, 0.9920159680638723, 10.02, 0.9920159680638723 
9.94, 0.9920159680638723, 9.94, 0.9619512195121951 
9.86, 0.9619512195121951, 9.63, 0.9881188118811882 
9.98, 0.9881188118811882, 10.1, 0.9920159680638723 
9.94, 0.9920159680638723, 9.82, 1.0420258620689655 
