Crossovers From Above 
Day 0, Day 0 Return, Day 1, Day 1 Return 
62.66, 0.9877049180327868, 62.46, 0.9960710356749961 
63.38, 0.9960710356749961, 63.6, 0.9866812911313068 
62.97, 0.9866812911313068, 63.26, 0.9971546000632311 
63.08, 0.9971546000632311, 62.99, 0.9910292728989613 
62.97, 0.9910292728989613, 61.31, 0.9865325328573745 
60.8, 0.9865325328573745, 60.65, 0.9949453774661667 
61.02, 0.9949453774661667, 60.95, 0.9884982990442249 
61.02, 0.9884982990442249, 61.4, 0.9842019543973941 
60.43, 0.9842019543973941, 60.94, 0.9960950211519687 
61.22, 0.9960950211519687, 60.76, 0.9903610521156673 
60.62, 0.9903610521156673, 60.51, 0.9931057124097177 
60.5, 0.9931057124097177, 61.27, 0.9871209651124877 
60.55, 0.9871209651124877, 60.65, 0.9585798816568046 
58.32, 0.9585798816568046, 58.7, 0.9795435333896872 
57.94, 0.9795435333896872, 57.83, 0.9807692307692307 
57.12, 0.9807692307692307, 58.65, 0.9734106016703596 
57.11, 0.9734106016703596, 58.66, 0.982741116751269 
48.4, 0.982741116751269, 48.36, 0.972037819352243 
48.32, 0.972037819352243, 47.75, 0.99000199960008 
49.51, 0.99000199960008, 50.1, 0.9596806387225548 
48.08, 0.9596806387225548, 47.1, 0.9797124600638977 
61.33, 0.9797124600638977, 60.86, 0.9959677419354839 
61.75, 0.9959677419354839, 62.09, 0.9962956997906265 
61.86, 0.9962956997906265, 61.68, 0.9977302204928664 
61.54, 0.9977302204928664, 60.77, 0.9912578921806702 
61.23, 0.9912578921806702, 61.34, 0.983878768337901 
61.03, 0.983878768337901, 61.55, 0.9476848090982941 
58.33, 0.9476848090982941, 59.4, 0.9807911443919909 
60.25, 0.9807911443919909, 60.96, 0.9849099464546487 
60.7, 0.9849099464546487, 62.47, 0.9914720059325176 
53.48, 0.9914720059325176, 54.35, 0.9906279287722587 
42.28, 0.9906279287722587, 42.58, 0.9903710662282763 
42.17, 0.9903710662282763, 41.49, 0.995749704840614 
42.17, 0.995749704840614, 41.92, 0.9959291187739465 
41.59, 0.9959291187739465, 41.41, 0.9789372905696505 
40.9, 0.9789372905696505, 40.82, 0.9379754242246928 
32.06, 0.9379754242246928, 32.6, 0.9890939597315436 
35.37, 0.9890939597315436, 35.85, 0.9845462208485528 
35.04, 0.9845462208485528, 34.93, 0.9741379310344828 
35.03, 0.9741379310344828, 35.37, 0.9899328859060403 
35.4, 0.9899328859060403, 35.51, 0.9923965080259083 
35.24, 0.9923965080259083, 35.3, 0.9780157835400227 
34.7, 0.9780157835400227, 35.79, 0.9879281302638967 
35.19, 0.9879281302638967, 35.23, 0.9754653130287648 
34.59, 0.9754653130287648, 34.32, 0.9848697114037546 
35.15, 0.9848697114037546, 35.07, 0.9851457399103138 
35.15, 0.9851457399103138, 35.07, 0.9943534726143421 
35.22, 0.9943534726143421, 36.12, 0.9879349046015713 
35.21, 0.9879349046015713, 35.06, 0.9706552706552706 
34.07, 0.9706552706552706, 34.38, 0.9771462056841488 
33.35, 0.9771462056841488, 33.69, 0.9254322766570605 
25.69, 0.9254322766570605, 25.11, 0.9574014909478167 
26.97, 0.9574014909478167, 27.64, 0.9559238363892807 
27.11, 0.9559238363892807, 27.3, 0.9728765167737331 
27.26, 0.9728765167737331, 26.97, 0.9728968673002464 
27.64, 0.9728968673002464, 28.47, 0.9402347918890075 
26.43, 0.9402347918890075, 26.49, 0.9500538986704996 
26.44, 0.9500538986704996, 26.49, 0.9642126789366053 
28.29, 0.9642126789366053, 29, 0.9711743772241992 
27.29, 0.9711743772241992, 27, 0.9560750974140984 
26.99, 0.9560750974140984, 26.33, 0.9863994273443092 
27.56, 0.9863994273443092, 28.09, 0.989727240524265 
27.94, 0.989727240524265, 27.7, 0.989727240524265 
27.94, 0.989727240524265, 28.8, 0.9964576691462982 
28.13, 0.9964576691462982, 28.7, 0.9702833448514167 
28.08, 0.9702833448514167, 28.65, 0.9818499127399651 
28.13, 0.9818499127399651, 28.32, 0.9950564971751412 
28.18, 0.9950564971751412, 28.23, 0.9721254355400697 
27.9, 0.9721254355400697, 28.13, 0.9448160535117057 
28.25, 0.9448160535117057, 29.71, 0.9606193200942443 
28.54, 0.9606193200942443, 28.68, 0.9672673777123942 
26.3, 0.9672673777123942, 26.35, 0.9947149867874671 
26.35, 0.9947149867874671, 26.68, 0.968793024323084 
21.11, 0.968793024323084, 21.03, 0.9759547383309759 
20.7, 0.9759547383309759, 20.53, 0.960093896713615 
20.45, 0.960093896713615, 20.37, 0.9800380228136883 
20.62, 0.9800380228136883, 20.28, 0.987445678416224 
20.45, 0.987445678416224, 21.21, 0.9884649511978706 
11.14, 0.9884649511978706, 11.18, 0.9859278803869834 
11.21, 0.9859278803869834, 11.13, 1.0241691842900302 
10.17, 1.0241691842900302, 10.01, 1.00802407221665 
10.05, 1.00802407221665, 10.01, 1.0200601805416247 
10.17, 1.0200601805416247, 10.05, 0.9841017488076312 
12.38, 0.9841017488076312, 12.38, 0.9935587761674718 
12.34, 0.9935587761674718, 12.66, 0.9776536312849162 
12.25, 0.9776536312849162, 12.21, 0.9808917197452229 
12.32, 0.9808917197452229, 12.4, 0.9688473520249221 
12.44, 0.9688473520249221, 12.04, 1.0133451957295374 
11.39, 1.0133451957295374, 11.31, 1.0080482897384306 
10.02, 1.0080482897384306, 9.94, 1.0160320641282565 
10.14, 1.0160320641282565, 10.14, 1.031062124248497 
10.29, 1.031062124248497, 10.1, 1.0120240480961924 
10.1, 1.0120240480961924, 10.29, 0.9916926272066459 
